,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
55,Pebble Cosmos Ultra,"Cosmos Ultra 1.91""",48.513999999999996,Android & iOS,Yes,Yes,No,No,IPS LCD,263.0,Yes,1.0,7.0,1799
56,Ambrane Wise Glaze,Wise Glaze with,45.212,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,1799
57,"Pebble Carbon 1.39""HD","Carbon 1.39""HD Display,Black",35.3,Android & iOS,Yes,Yes,No,No,HD,,Yes,1000.0,7.0,1299
58,NIKHILX Original T800,Original T800 Ultra,49.0,Android & iOS,Yes,Yes,No,Yes,HD,456.0,Yes,2.0,4.0,598
59,Nokia 105 CLASSIC  ,105 CLASSIC,45.0,,No,No,No,No,Other,,No,,,1105
60,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
61,Melbon S9 Ultra,S9 Ultra gold,50.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.354,7.0,1699
62,boAt Lunar Prime,Lunar Prime w/,35.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,2899
63,"Fire-Boltt Cyclone Pro,","Cyclone Pro, 1.43�",36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,9.0,1999
64,Noise Thrill with,"Thrill with 2""",50.8,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,1.5,15.0,2199
65,POCO M6 5G,M6 5G,171.20000000000002,,No,No,Yes,No,HD,,Yes,,,11499
66,"Fire-Boltt Cobra 1.78""","Cobra 1.78"" AMOLED",45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,5.0,2799
67,Fire-Boltt Apollo 2,Apollo 2 Super,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,0.2916666666666667,2499
70,HAKEX ID116 Smart,ID116 Smart Fitness,42.0,Android,No,Yes,No,No,Other,100.0,Yes,,1.0,499
73,"Fire-Boltt Combat 1.95""","Combat 1.95"" Large",49.529999999999994,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,1.0,7.0,2199
74,Shop New A1,A1 Smart Watch,40.0,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,5.0,1499
77,Ambrane Wise Eon,Wise Eon Max,51.054,Android & iOS,Yes,Yes,No,No,Other,261.0,Yes,,10.0,1499
